2024-11-04 18:05:15,960 | DEBUG | Data written
2024-11-04 18:05:15,961 | DEBUG | method chosen: OperationSettings.THREADS
2024-11-04 18:05:15,961 | DEBUG | Got data
2024-11-04 18:05:15,961 | DEBUG | Data written
2024-11-04 18:05:15,962 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,962 | DEBUG | Deleted value from dict
2024-11-04 18:05:15,962 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,962 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,962 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,962 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,962 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,962 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,963 | DEBUG | Data written
2024-11-04 18:05:15,963 | DEBUG | method chosen: OperationSettings.THREADS
2024-11-04 18:05:15,963 | DEBUG | Got data
2024-11-04 18:05:15,963 | DEBUG | No writer
2024-11-04 18:05:15,963 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,963 | DEBUG | Got value from dict - None
2024-11-04 18:05:15,963 | DEBUG | No writer
2024-11-04 18:05:15,964 | DEBUG | No writer
2024-11-04 18:05:15,964 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,964 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,964 | DEBUG | Got value from dict - None
2024-11-04 18:05:15,964 | DEBUG | Got value from dict - None
2024-11-04 18:05:15,978 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,978 | DEBUG | adding num: 12 to db was True
2024-11-04 18:05:15,978 | DEBUG | Data written
2024-11-04 18:05:15,978 | DEBUG | writing was True
2024-11-04 18:05:15,978 | DEBUG | released all reader slots
2024-11-04 18:05:15,994 | DEBUG | No writer
2024-11-04 18:05:15,994 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,994 | DEBUG | Got value from dict - 12
2024-11-04 18:05:15,994 | DEBUG | No writer
2024-11-04 18:05:15,995 | DEBUG | No writer
2024-11-04 18:05:15,995 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,995 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,995 | DEBUG | Got value from dict - 12
2024-11-04 18:05:15,995 | DEBUG | Got value from dict - 12
2024-11-04 18:05:15,995 | DEBUG | Value added to dictionary
2024-11-04 18:05:15,995 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:05:15,995 | DEBUG | Data written
2024-11-04 18:05:15,996 | DEBUG | writing was True
2024-11-04 18:05:15,996 | DEBUG | released all reader slots
2024-11-04 18:05:15,996 | DEBUG | No writer
2024-11-04 18:05:15,996 | DEBUG | No writer
2024-11-04 18:05:15,996 | DEBUG | No writer
2024-11-04 18:05:15,996 | DEBUG | No writer
2024-11-04 18:05:15,996 | DEBUG | No writer
2024-11-04 18:05:15,996 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,996 | DEBUG | No writer
2024-11-04 18:05:15,996 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,997 | DEBUG | No writer
2024-11-04 18:05:15,997 | DEBUG | No writer
2024-11-04 18:05:15,997 | DEBUG | No writer
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,997 | DEBUG | No writer
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,997 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,997 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,998 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,997 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,997 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,997 | DEBUG | Acquired reader lock
2024-11-04 18:05:15,998 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:15,998 | DEBUG | Got value from dict - Ophir
